Year,Month,Interest_Rate,Unemployment_Rate,Stock_Index_Price
2019,12,2.75,5.3,1464
2019,11,2.5,5.3,1394
2019,10,2.5,5.3,1357
2019,9,2.5,5.3,1293
2019,8,2.5,5.4,1256
2019,7,2.5,5.6,1254
2019,6,2.5,5.5,1234
2019,5,2.25,5.5,1195
2019,4,2.25,5.5,1159
2019,3,2.25,5.6,1167
2019,2,2,5.7,1130
2019,1,2,5.9,1075
2018,12,2,6,1047
2018,11,1.75,5.9,965
2018,10,1.75,5.8,943
2018,9,1.75,6.1,958
2018,8,1.75,6.2,971
2018,7,1.75,6.1,949
2018,6,1.75,6.1,894
2018,5,1.75,6.1,866
2018,4,1.75,5.9,876
2018,3,1.75,6.2,822
2018,2,1.75,6.2,704
2018,1,1.75,6.1,719
